user_id,lock_id,sale_datetime,sale_id,gross_profit
18810640,25534810,2022-10-03 17:10:50,1592582,-88.43
18852597,24728660,2022-09-23 20:34:57,1590765,-345.57
18912258,26832035,2022-11-29 15:53:29,1675719,358.24
18935460,26158867,2022-10-24 20:37:28,1625373,-28.23
18956519,25344175,2022-09-27 20:57:06,1590249,912.8
19041008,25314945,2022-09-27 14:17:47,1592351,735.99
19099850,25581250,2022-10-03 21:37:20,1592020,-309.66
19129794,25451860,2022-09-28 20:20:03,1592000,2154.14
19264758,25564008,2022-10-13 14:23:21,1603281,-477.92
19391487,27152492,2022-12-02 22:10:15,1675726,-279.44
19398445,26491019,2022-11-07 21:57:45,1641907,1088.21
19407472,25330400,2022-10-05 13:10:31,1603241,227.11
19426053,27273643,2022-12-06 17:59:54,1675739,-186.76
19474755,25504943,2022-10-06 13:52:29,1603286,305.94
19477675,25474554,2022-09-29 19:03:48,1592305,-201.11
19495115,26688999,2022-11-11 05:10:39,1642360,-321.39
19578416,25339301,2022-09-29 12:19:40,1592649,1122.14
19622371,27119719,2022-11-29 19:59:18,1675720,385.72
19667732,26584522,2022-11-10 16:53:39,1642694,1014.81
19671392,25206094,2022-09-29 17:48:08,1592301,187.28
19671611,26334249,2022-10-29 01:00:30,1631999,-16.44
19688958,25469337,2022-10-02 18:06:54,1592697,1210.13
19764354,25428359,2022-09-28 15:13:06,1592421,102.11
19810721,25025797,2022-09-13 19:44:58,1592376,-53.79
19952868,27219384,2022-12-04 02:02:43,1675727,453.37
19958639,27638663,2022-12-22 23:03:41,1687584,-47.41
19988329,25532275,2022-10-01 21:24:25,1592404,-418.65
20097945,27622555,2022-12-27 21:29:30,1688248,988.8
20108161,27544944,2022-12-19 16:23:14,1683419,245.43
20145176,27201883,2022-12-06 00:15:54,1675280,953.89
20219986,25793552,2022-10-14 13:22:25,1608134,37.8
20239672,26679515,2022-11-10 21:56:39,1642345,-21.27
20365169,25351653,2022-10-03 14:22:42,1590832,211.63
20372485,25974544,2022-10-16 19:46:50,1617301,-43.65
20415582,26583938,2022-11-13 14:44:49,1642383,-270.44
20439719,27212636,2022-12-08 16:03:14,1674897,421.43
20477945,25447466,2022-09-29 22:21:07,1592109,-381.79
20505076,26152218,2022-10-30 17:21:46,1624692,725.89
20562994,25484970,2022-10-03 17:49:01,1603257,773.49
20566005,25489320,2022-09-30 01:28:47,1591748,8.68
20653165,25893027,2022-10-17 16:40:17,1615802,697.0
20725480,27737328,2022-12-28 01:12:20,1688258,-75.72
20818878,26588037,2022-11-07 20:22:17,1642009,216.11
20847171,25387660,2022-10-06 13:08:09,1603301,-271.56
20848011,26222147,2022-10-25 07:10:23,1624694,-144.02
20866500,25561612,2022-10-02 20:39:33,1592449,412.04
20989992,25308187,2022-10-05 13:43:44,1592474,450.45
21104916,26882562,2022-11-18 18:21:10,1652926,954.35
21245658,26870796,2022-11-18 12:59:22,1652908,716.81
21253481,26884255,2022-11-18 19:24:56,1652928,-692.82
21321711,26349603,2022-11-07 18:54:08,1643851,156.04
21415739,25540326,2022-10-01 23:06:59,1592675,164.11
21437896,27498404,2022-12-17 21:38:16,1687218,228.13
21545278,25170780,2022-09-19 16:07:22,1592409,595.7
21548135,25916714,2022-10-24 19:35:16,1617262,1450.82
21727357,27643343,2022-12-23 13:11:48,1687595,242.76
21770168,26285439,2022-10-27 17:50:54,1628316,779.67
21841039,26821992,2022-12-06 22:45:37,1675750,231.57
21852215,25448293,2022-09-29 14:59:39,1592541,958.84
21937973,25468353,2022-09-29 19:40:22,1592505,-242.55
22030866,26807133,2022-11-17 20:38:58,1652890,38.31
22170219,25384966,2022-09-26 22:46:34,1592066,1155.01
22176081,25394661,2022-09-30 19:06:08,1592720,958.65
22206823,27253766,2022-12-23 19:16:25,1685033,1260.14
22209908,25278734,2022-09-28 11:51:07,1592446,925.45
22242773,26423122,2022-11-01 19:06:27,1631976,176.01
22267432,27569348,2022-12-19 21:47:30,1683432,1027.36
22304988,25483268,2022-10-03 13:06:01,1592457,494.3
22340346,25785893,2022-10-11 01:16:37,1603318,500.25
22389152,26483013,2022-11-09 00:45:52,1642391,391.55
22408373,26695396,2022-11-11 14:16:45,1641938,648.31
22522224,25476436,2022-10-03 19:26:03,1592493,274.16
22524886,27151344,2022-12-09 14:25:55,1673660,305.56
22525215,25718023,2022-10-08 00:38:39,1608293,-117.42
22552120,27250984,2022-12-20 13:39:06,1683440,735.39
22565000,27455328,2022-12-14 06:03:26,1675896,472.91
22575972,25796886,2022-10-11 01:22:22,1603319,1605.94
22577068,25346611,2022-09-25 01:50:59,1592432,226.23
22625715,27296372,2022-12-07 17:17:38,1675755,1049.76
22732763,25462018,2022-09-29 03:01:49,1592711,547.8
22743460,27666926,2022-12-24 18:27:00,1688175,898.27
22753332,26930237,2022-12-01 16:42:09,1675723,49.65
22772609,26705364,2022-11-11 21:39:05,1645253,-138.1
22846357,27513421,2022-12-19 14:59:54,1683418,629.57
22873344,27248522,2022-12-05 16:38:51,1674796,828.62
22937599,26240124,2022-11-07 18:35:44,1642043,-134.8
22938558,26221369,2022-11-01 19:21:49,1631978,513.77
23034926,25435371,2022-09-30 21:41:05,1592659,-345.86
23150487,27471238,2022-12-16 00:50:48,1687211,965.93
23160094,27441617,2022-12-13 19:31:54,1675885,297.85
23167417,25478020,2022-09-29 19:24:09,1592619,143.38
23168249,25400741,2022-10-05 21:28:07,1592611,1752.47
23238691,27709988,2022-12-27 01:11:07,1688713,2.53
23334458,27580184,2022-12-20 08:00:10,1682604,5.89
23352526,25472682,2022-09-29 17:49:21,1592303,199.08
23387642,26853316,2022-11-17 16:38:08,1652867,581.48
23398953,25504329,2022-10-03 02:49:34,1603252,1072.05
23515498,25060390,2022-09-20 20:31:09,1589739,542.94
23517479,25215228,2022-09-29 19:55:51,1590348,927.96
23584529,27351775,2022-12-09 18:05:18,1675785,113.48
23626103,26479030,2022-11-06 20:39:02,1640814,-348.59
23641324,25502201,2022-10-02 00:23:07,1592684,956.82
23677320,25406648,2022-09-28 14:39:27,1592430,1165.14
23678293,25222038,2022-09-29 22:19:34,1591886,115.83
23770733,26099494,2022-10-21 20:29:53,1624733,402.89
23875001,25459890,2022-09-30 13:43:52,1590891,940.71
23877509,26320539,2022-11-04 19:39:13,1631993,656.13
23889667,26414897,2022-11-02 17:49:16,1631979,280.75
23982789,25531061,2022-10-03 01:18:01,1592454,213.33
24027636,27385704,2022-12-12 14:53:39,1687208,595.83
24068496,27547861,2022-12-18 19:32:27,1683406,140.5
24077312,25259176,2022-09-22 19:42:22,1592533,812.43
24143750,25450663,2022-09-29 16:38:51,1592162,-244.77
24213635,26351069,2022-10-29 18:58:37,1632008,628.91
24286811,25500894,2022-10-03 18:25:21,1591326,-100.82
24505722,25589305,2022-10-30 09:20:00,1631945,965.37
24527499,25244741,2022-09-21 14:26:25,1590325,155.37
24583383,25498388,2022-09-30 13:53:59,1592356,-168.43
24813588,25394128,2022-09-26 23:09:43,1591049,546.16
24821310,26201686,2022-10-27 00:40:34,1624679,23.47
